"idCitta","nation","name_it","name_en"
1,1,Ascoli Piceno,Ascoli Piceno
2,1,Bari,Bari
3,1,Baveno (Verbania),Baveno (Verbania)
4,1,Bergamo,Bergamo
5,3,Berlino,Berlin
6,1,Bertinoro di Romagna (Forlì),Bertinoro di Romagna (Forlì)
7,1,Bologna,Bologna
8,1,Bolzano (Coldrano),Bolzano (Coldrano)
9,1,Brescia,Brescia
10,12,Bucarest,Bucarest
11,1,Cagliari ,Cagliari 
12,1,Calcinaia (Pisa),Calcinaia (Pisa)
13,1,Capri,Capri
14,1,Catania,Catania
15,1,Catanzaro,Catanzaro
16,1,Cernobbio (Como),Cernobbio (Como)
17,1,Cesena,Cesena
18,1,Coldrano (Bolzano),Coldrano (Bolzano)
19,1,Como,Como
20,9,Cracovia,Kraków
21,1,Cremona,Cremona
22,1,Empoli,Empoli
23,1,Erice (Trapani),Erice (Trapani)
24,1,Firenze,Florence
25,1,Forlì-Cesena (Bertinoro di Romagna),Forlì-Cesena (Bertinoro di Romagna)
26,1,Gardone Riviera (Brescia),Gardone Riviera (Brescia)
27,1,Genova,Genoa
28,1,Goldrain (Bolzano),Goldrain (Bolzano)
29,1,L’Aquila,L’Aquila
30,8,Limassol,Limassol
31,7,Londra,London
32,5,Madrid,Madrid
33,1,Messina,Messina
34,1,Milano,Milan
35,10,Montecarlo,Montecarlo
36,2,Mosca,Moscow
37,1,Napoli,Naples
38,4,Nizza,Nizza
39,1,Oreno,Oreno
40,1,Padova,Padua
41,1,Palermo,Palermo
42,1,Parma,Parma
43,1,Pavia,Pavia
44,1,Pavia e Milano,Pavia e Milano
45,1,Pietrasanta (Lucca),Pietrasanta (Lucca)
46,1,Pisa,Pisa
47,1,Pomezia (Roma),Pomezia (Roma)
48,1,Rimini,Rimini
49,1,Riva del Garda (Trento),Riva del Garda (Trento)
50,1,Roma,Rome
51,1,Ronzano (Bologna),Ronzano (Bologna)
52,1,Sassari,Sassari
53,1,Sesto San Giovanni (Milano),Sesto San Giovanni (Milano)
54,1,Sestri Levante (Genova),Sestri Levante (Genova)
55,1,Siena,Siena
56,1,Taormina (Messina),Taormina (Messina)
57,1,Torino,Torino
58,1,Trapani (Erice),Trapani (Erice)
59,1,Trieste ,Trieste 
60,1,Venezia,Venezia
61,1,Venezia Lido,Venezia Lido
62,1,Verona,Verona
63,10,Montecarlo,Montecarlo
64,1,Bertinoro,Bertinoro
65,1,Aosta,Aosta
66,1,Aosta,Aosta
67,14,Budapest ,Budapest 
68,15,Guatemala City,Guatemala City
69,1,"Udine","Udine"
70,5,Barcellona,Barcelona
72,1,"Matera","Matera"
73,16,Vilnius,Vilnius
74,19,"Singapore","Singapore"
76,13,Dublino,Dublino
77,17,Beijing,Beijing
78,18,Seoul,Seoul
79,1,Chieti,Chieti
80,20,San Paolo,Sao Paulo
81,8,Atene,Athens
87,21,Dubrovnik,Dubrovnik
88,1,Ostuni (BR),Ostuni (BR)
89,22,Manila ,Manila 
90,23,Lima,Lima
91,8,Thessaloniki,Thessaloniki
92,24,Praga,Prague
93,27,"Washington","Washington"
94,26,"Belgrado","Belgrado"
95,6,Zurigo,Zurich
96,2,San Pietroburgo,St. Petersburg
97,17,Hong Kong,Hong Kong
98,28,Stoccolma,Stockholm
99,1,Ragusa,Ragusa
100,29,Bruxelles,Brussels
101,1,Siracusa,Syracuse
102,5,Bilbao,Bilbao
103,30,Cancun,Cancun
104,31,Lisbona,Lisbon
105,17,Shanghai,Shanghai
106,32,Taipei,Taipei
107,33,Ungasan,Ungasan
108,34,Momabasa,Mombasa
109,1,Forlì,Forlì
110,35,Tallinn,Tallinn
111,15,Antigua,Antigua
112,37,Cartagena de Indias,Cartagena de Indias
113,38,Amsterdam,Amsterdam
114,33,Bali,Bali
115,17,Dalian,Dalian
116,39,Dar-as-Salaam,Dar-as-Salaam
117,40,Bangkok,Bangkok
118,41,Seul,Seul
119,1,Fiesole (Firenze),Fiesole (Florence)
121,1,Fiesole,Fiesole
122,9,Varsavia,Warsaw
123,1,Grado,Grado
125,1,Ravenna,Ravenna
126,44,Webinar,Webinar
127,30,Città del Messico,Mexico City
128,45,Cairo,Cairo
129,37,Santa Marta,Santa Marta
130,46,Hanoi,Hanoi
131,47,Tunisi,Tunis
132,48,Dubai,Dubai
133,49,Kuala Lumpur,Kuala Lumpur
134,50,Cape Town,Cape Town
135,51,Ljubljana,Ljubljana
136,30,Los Cabos,Los Cabos
137,52,Sydney,Sydney
138,21,Spalato,Spalato
