id_evento,title_it,title_en,startDate,endDate,description_it,description_en,city,nation,subscriptionType,venue,evidenceImageUrl,presentationDescription_it,presentationDescription_en,programCover,programPDF,address,eventType,supplier,ecm,externalSubscribeLink,subscription,format
"6","International conference - The responsibility of science in modern society","International conference - The responsibility of science in modern society","1976-10-03 00:00:00.0","1976-11-06 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"10","Secondo Corso Nazionale - Attualità nella ricerca biologica applicata alla dermatologia (Prof. F. Serri, Pavia e W. Montagna, Beaverton, USA)","Secondo Corso Nazionale - Attualità nella ricerca biologica applicata alla dermatologia (Prof. F. Serri, Pavia e W. Montagna, Beaverton, USA)","1976-09-14 00:00:00.0","1976-09-18 00:00:00.0",,,"43","1",,,,,,,,,"event",,,,"all",
"11","International symposium - The major histocompatibility complex of man: HLA its relevance in biology, medicine, surgery","International symposium - The major histocompatibility complex of man: HLA its relevance in biology, medicine, surgery","1976-10-23 00:00:00.0","1976-10-25 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"12","IV corso di aggiornamento - Alterazioni congenite ed acquisite della coagulazione: metodi di studio","IV corso di aggiornamento - Alterazioni congenite ed acquisite della coagulazione: metodi di studio","1976-11-10 00:00:00.0","1976-11-11 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"13","International congress - Cardiac lung","International congress - Cardiac lung","1976-12-08 00:00:00.0","1976-12-10 23:59:59.0",,,"24","1","2",,,,,,,,"event","15",,,"none",
"14","International Symposium - Central mechanisms of anorectic drugs","International Symposium - Central mechanisms of anorectic drugs","1977-01-20 00:00:00.0","1977-01-21 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"15","International Conference - Perspectives in psychopharmacotherapy","International Conference - Perspectives in psychopharmacotherapy","2007-04-06 00:00:00.0","2007-04-08 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"16","Fifth General Meeting Of The S.e.p.c.r. (Societas Europea Physiologiae Clinicae Respiratoriae) - Advances In Clinical Respiratory Physiology A) Respiratory Mechanisms: Practical Applications B) Metabolic Effects On Respiratory Function","Fifth General Meeting Of The S.e.p.c.r. (Societas Europea Physiologiae Clinicae Respiratoriae) - Advances In Clinical Respiratory Physiology A) Respiratory Mechanisms: Practical Applications B) Metabolic Effects On Respiratory Function","1977-05-31 00:00:00.0","1977-06-03 00:00:00.0",,,"34","1",,,,,,,,,"event",,,,"all",
"17","International Symposium - Organ specific autoimmunity","International Symposium - Organ specific autoimmunity","1977-06-06 00:00:00.0","1977-06-08 00:00:00.0",,,"21","1",,,,,,,,,"event",,,,"all",
"18","Satellite Symposium of the XXVII International Congress of the Physiological Sciences - Cardiac innervation in pathophysiology: neural mechanisms in cardiac arrhythmias","Satellite Symposium of the XXVII International Congress of the Physiological Sciences - Cardiac innervation in pathophysiology: neural mechanisms in cardiac arrhythmias","1977-06-25 00:00:00.0","1977-06-27 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"19","International Symposium - Platelets: a multidisciplinary approach","International Symposium - Platelets: a multidisciplinary approach","1977-09-28 00:00:00.0","1977-09-30 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"20","International School - Foundations of medical informatics","International School - Foundations of medical informatics","1977-10-09 00:00:00.0","1977-10-15 00:00:00.0",,,"63","10",,,,,,,,,"event",,,,"all",
"21","International conference - In vitro aspects of erythropoiesis","International conference - In vitro aspects of erythropoiesis","1977-10-24 00:00:00.0","1977-10-26 00:00:00.0",,,"13","1",,,,,,,,,"event",,,,"all",
"22","V corso di aggiornamento - Alterazioni congenite ed acquisite della coagulazione: metodi di studio","V corso di aggiornamento - Alterazioni congenite ed acquisite della coagulazione: metodi di studio","1977-11-24 00:00:00.0","1977-11-25 00:00:00.0",,,"50","1",,,,,,,,,"event",,,,"all",
"23","International symposium - Current trends in tumor immunology","International symposium - Current trends in tumor immunology","1978-03-10 00:00:00.0","1978-03-12 00:00:00.0",,,"21","1",,,,,,,,,"event",,,,"all",
"24","International congress - Research application and strengthening of health services","International congress - Research application and strengthening of health services","1978-03-21 00:00:00.0","1978-03-23 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"25","International symposium - Cerebrovascular disorders and stroke","International symposium - Cerebrovascular disorders and stroke","1978-04-05 00:00:00.0","1978-04-07 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"26","International congress - Man and his world: technology and health","International congress - Man and his world: technology and health","1978-04-21 00:00:00.0","1878-04-25 00:00:00.0",,,"49","1",,,,,,,,,"event",,,,"all",
"27","European society of cardio-vascular radiology III congress","European society of cardio-vascular radiology III congress","1978-05-15 00:00:00.0","1978-05-17 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"28","I International course - Cardio-vascular radiology","I International course - Cardio-vascular radiology","1978-05-18 00:00:00.0","1978-05-19 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"29","International congress - Immunopathology of the central and peripheral nervous system","International congress - Immunopathology of the central and peripheral nervous system","1978-06-14 00:00:00.0","1978-06-16 00:00:00.0",,,"34","1",,,,,,,,,"event",,,,"all",
"30","II European neuroscience meeting","II European neuroscience meeting","1978-09-05 00:00:00.0","1978-09-08 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"31","II international symposium - Intrahepatic cholestasis Satellite symposium of the XIV congress of the International Society of Internal Medicine","II international symposium - Intrahepatic cholestasis Satellite symposium of the XIV congress of the International Society of Internal Medicine","1978-10-13 00:00:00.0","1978-10-14 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"32","VI corso di aggiornamento - Alterazioni congenite ed acquisite della coagulazione: metodi di studio","VI corso di aggiornamento - Alterazioni congenite ed acquisite della coagulazione: metodi di studio","1978-11-23 00:00:00.0","1978-11-24 00:00:00.0",,,"62","1",,,,,,,,,"event",,,,"all",
"33","International symposium - Renal physiopathology - recent advances","International symposium - Renal physiopathology - recent advances","1979-01-26 00:00:00.0","1979-01-28 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"34","International symposium - Long-term effects of neuroleptics pharmacological basis and clinical implications","International symposium - Long-term effects of neuroleptics pharmacological basis and clinical implications","1979-03-19 00:00:00.0","1979-03-22 00:00:00.0",,,"63","10",,,,,,,,,"event",,,,"all",
"35","I european symposium - Xeroradiography","I european symposium - Xeroradiography","1979-05-11 00:00:00.0","1979-05-13 00:00:00.0",,,"60","1",,,,,,,,,"event",,,,"all",
"36","International symposium - Crucial points in psychiatric research","International symposium - Crucial points in psychiatric research","1979-05-23 00:00:00.0","1979-05-25 00:00:00.0",,,"36","2",,,,,,,,,"event",,,,"all",
"37","Satellite symposium of the VI scientific meeting of the International Society of Hypertension - Juvenile hypertension","Satellite symposium of the VI scientific meeting of the International Society of Hypertension - Juvenile hypertension","1979-06-04 00:00:00.0","1979-06-06 00:00:00.0",,,"42","1",,,,,,,,,"event",,,,"all",
"38","III European neuroscience meeting","III European neuroscience meeting","1979-09-11 00:00:00.0","1979-09-14 00:00:00.0",,,"50","1",,,,,,,,,"event",,,,"all",
"39","IV Congresso triennale dell'emofilia - Problemi clinici e sociali dell'emofilia","IV Congresso triennale dell'emofilia - Problemi clinici e sociali dell'emofilia","1979-09-28 00:00:00.0","1979-09-29 00:00:00.0",,,"34","1",,,,,,,,,"event",,,,"all",
"40","27° National meeting of hematology","27° National meeting of hematology","1979-10-17 00:00:00.0","1979-10-20 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"41","VII Corso di aggiornamento Alterazioni congenite ed acquisite della coagulazione: metodi di studio","VII Corso di aggiornamento Alterazioni congenite ed acquisite della coagulazione: metodi di studio","1979-11-14 00:00:00.0","1979-11-15 00:00:00.0",,,"7","1",,,,,,,,,"event",,,,"all",
"42","I Convegno nazionale - Divisione di chimica farmaceutica della societa' chimica italiana","I Convegno nazionale - Divisione di chimica farmaceutica della societa' chimica italiana","1979-12-13 00:00:00.0","1979-12-15 00:00:00.0",,,"46","1",,,,,,,,,"event",,,,"all",
"43","International congress - Headache '80","International congress - Headache '80","1980-03-17 00:00:00.0","1980-03-19 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"44","International postgraduate course - Clinical biomedical methods in headache","International postgraduate course - Clinical biomedical methods in headache","1980-03-20 00:00:00.0","1980-03-22 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"45","Congressi Congiunti delle Società Italiane di Chirurgia d'Urgenza e del Collegium Internationale Chirurgiae Digestivae - Giornate internazionali di chirurgia","Congressi Congiunti delle Società Italiane di Chirurgia d'Urgenza e del Collegium Internationale Chirurgiae Digestivae - Giornate internazionali di chirurgia","1980-05-31 00:00:00.0","1980-06-03 00:00:00.0",,,"50","1",,,,,,,,,"event",,,,"all",
"46","Satellite symposium of the fourth international congress of immunology - Third international Menarini symposium on immunopathology - Immunogenetics","Satellite symposium of the fourth international congress of immunology - Third international Menarini symposium on immunopathology - Immunogenetics","1980-07-14 00:00:00.0","1980-07-16 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"47","International symposium - Rheumatoid arthritis","International symposium - Rheumatoid arthritis","1980-10-20 00:00:00.0","1980-10-22 00:00:00.0",,,"62","1",,,,,,,,,"event",,,,"all",
"48","VIII Corso di aggiornamento - Alterazioni congenite ed acquisite della coagulazione: metodi di studio","VIII Corso di aggiornamento - Alterazioni congenite ed acquisite della coagulazione: metodi di studio","1980-11-17 00:00:00.0","1980-11-18 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"49","International workshop - Patient selection and protocol design for late phase II and early phase III of clinical trials on human fibroblast interferon","International workshop - Patient selection and protocol design for late phase II and early phase III of clinical trials on human fibroblast interferon","1980-11-27 00:00:00.0","1980-11-28 00:00:00.0",,,"50","1",,,,,,,,,"event",,,,"all",
"50","International symposium - Advances in red blood cells biology","International symposium - Advances in red blood cells biology","1981-03-05 00:00:00.0","1981-03-07 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"51","Simposio internazionale - Aspetti immunologici delle glomerulonefriti","Simposio internazionale - Aspetti immunologici delle glomerulonefriti","1981-05-30 00:00:00.0","1981-05-30 00:00:00.0",,,"42","1",,,,,,,,,"event",,,,"all",
"52","Symposium on cardiac arrhythmias - Mechanisms of sudden death - An Official Course of the American Medical Association","Symposium on cardiac arrhythmias - Mechanisms of sudden death - An Official Course of the American Medical Association","1981-06-15 00:00:00.0","1981-06-19 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"53","International symposium - Precancerous conditions of the gastrointestinal tract","International symposium - Precancerous conditions of the gastrointestinal tract","1981-10-07 00:00:00.0","1981-10-09 00:00:00.0",,,"7","1",,,,,,,,,"event",,,,"all",
"54","Simposio internazionale - Progressi nella terapia aminoglicosidica. La sisomicina: cinque anni di esperienze cliniche","Simposio internazionale - Progressi nella terapia aminoglicosidica. La sisomicina: cinque anni di esperienze cliniche","1981-10-13 00:00:00.0","1981-10-14 00:00:00.0",,,"60","1",,,,,,,,,"event",,,,"all",
"55","IX Corso di aggiornamento - Alterazioni congenite ed acquisite della coagulazione: metodi di studio","IX Corso di aggiornamento - Alterazioni congenite ed acquisite della coagulazione: metodi di studio","1981-11-23 00:00:00.0","1981-11-24 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"56","Incontri di gastroenterologia - Attività editoriale Fondazione Internazionale Menarini","Incontri di gastroenterologia - Attività editoriale Fondazione Internazionale Menarini","1982-01-29 00:00:00.0","1982-01-29 00:00:00.0",,,"34","1",,,,,,,,,"event",,,,"all",
"57","Conferenza internazionale - Marcatori enzimatici ed immunologici in leucemia","Conferenza internazionale - Marcatori enzimatici ed immunologici in leucemia","1982-06-11 00:00:00.0","1982-06-11 00:00:00.0",,,"42","1",,,,,,,,,"event",,,,"all",
"58","International symposium - Cancer of the exocrine pancreas, liver and extrahepatic biliary tracts: medical and surgical problems","International symposium - Cancer of the exocrine pancreas, liver and extrahepatic biliary tracts: medical and surgical problems","1982-06-18 00:00:00.0","1982-06-19 00:00:00.0",,,"50","1",,,,,,,,,"event",,,,"all",
"59","First international course - Nutrition in the practice of medicine","First international course - Nutrition in the practice of medicine","1982-06-29 00:00:00.0","1982-07-02 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"60","Fourth meeting of the european society for neurochemistry","Fourth meeting of the european society for neurochemistry","1982-09-12 00:00:00.0","1982-09-18 00:00:00.0",,,"14","1",,,,,,,,,"event",,,,"all",
"61","Special joint meeting of European Society for Neurochemistry and World Federation of Neurology - Energy transduction and neurotransmission","Special joint meeting of European Society for Neurochemistry and World Federation of Neurology - Energy transduction and neurotransmission","1982-09-20 00:00:00.0","1982-09-21 00:00:00.0",,,"50","1",,,,,,,,,"event",,,,"all",
"62","1st International conference - Biology of relaxin and its role in the human","1st International conference - Biology of relaxin and its role in the human","1982-09-30 00:00:00.0","1982-10-02 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"63","International meeting - Gastrointestinal motility in health and disease","International meeting - Gastrointestinal motility in health and disease","1983-05-12 00:00:00.0","1983-05-13 00:00:00.0",,,"32","5",,,,,,,,,"event",,,,"all",
"64","XII Convegno internazionale - L'anemia nell'insufficienza renale cronica","XII Convegno internazionale - L'anemia nell'insufficienza renale cronica","1983-05-30 00:00:00.0","1983-05-30 00:00:00.0",,,"42","1",,,,,,,,,"event",,,,"all",
"65","X Corso di aggiornamento - Alterazioni congenite ed acquisite della coagulazione: metodi di studio","X Corso di aggiornamento - Alterazioni congenite ed acquisite della coagulazione: metodi di studio","1983-11-10 00:00:00.0","1983-11-11 00:00:00.0",,,"34","1",,,,,,,,,"event",,,,"all",
"66","International congress - Neuroreceptors mechanisms in human diseases","International congress - Neuroreceptors mechanisms in human diseases","1984-03-21 00:00:00.0","1984-03-23 00:00:00.0",,,"24","1",,,,,,,,,"event",,,,"all",
"67","International conference - Tumor viruses: current basic concepts and their role in human cancer","International conference - Tumor viruses: current basic concepts and their role in human cancer","1984-04-18 00:00:00.0","1984-04-19 00:00:00.0",,,"21","1",,,,,,,,,"event",,,,"all",
"68","The joint European Society for Animal Cell Technology / International Association of Biological Standardization meeting - Production and exploitation of existing and new animal cells substrates","The joint European Society for Animal Cell Technology / International Association of Biological Standardization meeting - Production and exploitation of existing and new animal cells substrates","1984-05-21 00:00:00.0","1984-05-25 00:00:00.0",,,"26","1",,,,,,,,,"event",,,,"all",
