"id_evento","topics"
"13","7"
"13","7"
"33","2"
"289","1"
"393","2"
"396","7"
"396","6"
"396","2"
"396","2"
"396","2"
"400","4"
"406","7"
"415","7"
"415","9"
"415","2"
"416","7"
"419","7"
"423","7"
"423","2"
"423","2"
"423","2"
"423","2"
"423","7"
"423","7"
"427","7"
"427","2"
"427","7"
"431","7"
"431","2"
"431","7"
"431","7"
"431","7"
"431","7"
"433","4"
"433","1"
"433","4"
"433","2"
"436","9"
"436","2"
"436","2"
"436","10"
"436","2"
"437","9"
"437","2"
"437","8"
"437","2"
"438","10"
"438","2"
"438","9"
"438","10"
"439","7"
"439","2"
"439","11"
"439","2"
"439","8"
"439","1"
"439","2"
"441","7"
"441","9"
"441","7"
"442","2"
"442","2"
"442","1"
"442","2"
"444","9"
"444","4"
"444","9"
"444","2"
"445","2"
"445","2"
"445","4"
"445","2"
"445","1"
"445","2"
"445","10"
"445","1"
"445","2"
"445","4"
"447","2"
"447","7"
"447","2"
"447","9"
"447","4"
"447","10"
"447","1"
"447","2"
"449","7"
"449","9"
"449","2"
"449","2"
"473","5"
"474","7"
"477","2"
"477","2"
"479","7"
"479","9"
"493","7"
"493","4"
"494","7"
"495","7"
"497","2"
"497","2"
"498","7"
"498","7"
"500","7"
"500","2"
"500","4"
"500","2"
"500","2"
"500","7"
"500","7"
"500","2"
"500","1"
"500","2"
"502","2"
"502","7"
"502","2"
"502","3"
"503","7"
"503","9"
"503","2"
"503","7"
"504","7"
"504","7"
"504","1"
"506","7"
"507","8"
"508","4"
"509","7"
"509","2"
"510","7"
"511","4"
"512","2"
"512","3"
"512","2"
"512","2"
"512","2"
"512","3"
"513","2"
"515","7"
"515","7"
"516","4"
"516","2"
"516","7"
"520","7"
"522","1"
"523","7"
"525","7"
"526","4"
"527","4"
"527","7"
"527","2"
"529","7"
"531","7"
"544","7"
"545","2"
"545","7"
"546","7"
"546","7"
"547","4"
"565","7"
"605","7"
"608","7"
"611","7"
"618","2"
"645","7"
"650","7"
"691","7"
"692","2"
"696","7"
"699","3"
"702","7"
"702","11"
"703","2"
"704","7"
"709","2"
"721","7"
"744","7"
"746","7"
"750","1"
"750","2"
"753","2"
"754","2"
"755","2"
"759","7"
"777","7"
"871","7"
"871","7"
