"id","evento","relatore","ordine","data_relazione","titolo_it","titolo_en","descrizione_it","descrizione_en","code_video","path_video","path_mini","tipo","disciplina"
24,381,619,1,2013-01-24 00:00:00.000,La gestione del paziente e il percorso cardio-oncologico,La gestione del paziente e il percorso cardio-oncologico,La gestione del paziente e il percorso cardio-oncologico,La gestione del paziente e il percorso cardio-oncologico,"",https://vimeo.com/172104778,https://i.vimeocdn.com/video/577738244_421x240.jpg,VI,70
25,381,619,1,2013-01-24 00:00:00.000,Influenze reciproche tra tumori e disturbi cardiocircolatori:,Influenze reciproche tra tumori e disturbi cardiocircolatori:,Influenze reciproche tra tumori e disturbi cardiocircolatori:,Influenze reciproche tra tumori e disturbi cardiocircolatori:,"",https://vimeo.com/172104777,https://i.vimeocdn.com/video/577738273_421x240.jpg,VI,70
26,383,65,1,2013-03-21 00:00:00.000,Approccio medico della calcolosi,Approccio medico della calcolosi,"","","",https://vimeo.com/172104836,https://i.vimeocdn.com/video/577738316_421x240.jpg,VI,70
27,383,65,1,2013-03-21 00:00:00.000,Calcolosi e stile di vita,Calcolosi e stile di vita,"","","",https://vimeo.com/172104837,https://i.vimeocdn.com/video/577738316_421x240.jpg,VI,70
28,383,87,2,2013-03-21 00:00:00.000,Calcolosi e riscaldamento globale,Calcolosi e riscaldamento globale,"","","",https://vimeo.com/172104840,https://i.vimeocdn.com/video/577738344_421x240.jpg,VI,70
29,383,87,2,2013-03-21 00:00:00.000,Calcolosi ed eventi cardiovascolari,Calcolosi ed eventi cardiovascolari,"","","",https://vimeo.com/172104842,https://i.vimeocdn.com/video/577738331_421x240.jpg,VI,70
30,383,87,2,2013-03-21 00:00:00.000,Calcolosi più diffusa tra i giovani,Calcolosi più diffusa tra i giovani,"","","",https://vimeo.com/172104844,https://i.vimeocdn.com/video/577738287_421x240.jpg,VI,70
31,383,87,2,2013-03-21 00:00:00.000,Calcoli decalcificazione ossea e cuore,Calcoli decalcificazione ossea e cuore,"","","",https://vimeo.com/172104839,https://i.vimeocdn.com/video/577738278_421x240.jpg,VI,70
32,392,620,1,2013-06-20 00:00:00.000,L'importanza della diagnosi prenatale,L'importanza della diagnosi prenatale,"","","",https://vimeo.com/172104748,https://i.vimeocdn.com/video/577738150_421x240.jpg,VI,70
33,392,620,1,2013-06-20 00:00:00.000,Nuove opzioni di trattamento,Nuove opzioni di trattamento,"","","",https://vimeo.com/172104749,https://i.vimeocdn.com/video/577738170_421x240.jpg,VI,70
34,392,620,1,2013-06-20 00:00:00.000,Trapianto renale prima della dialisi,Trapianto renale prima della dialisi,"","","",https://vimeo.com/172104750,https://i.vimeocdn.com/video/577738210_421x240.jpg,VI,70
35,393,317,1,2013-09-19 00:00:00.000,"","",Historical overview of Primary Hyperparathyroidism,Historical overview of Primary Hyperparathyroidism,"184476612",https://vimeo.com/184476612,https://i.vimeocdn.com/video/593928680_421x240.jpg,VS,6
36,393,139,2,2013-09-20 00:00:00.000,"","",Pathophysiology of Primary Hyperparathyroidism,Pathophysiology of Primary Hyperparathyroidism,"",https://vimeo.com/184476613,https://i.vimeocdn.com/video/593928535_421x240.jpg,VS,6
37,393,275,3,2013-09-20 00:00:00.000,"","",Distinguishing Primary Hyperparathyroidism from Familial Hypocalciuric Hypercalcemia,Distinguishing Primary Hyperparathyroidism from Familial Hypocalciuric Hypercalcemia,"",https://vimeo.com/184476615,https://i.vimeocdn.com/video/593928520_421x240.jpg,VS,6
38,393,159,4,2013-09-20 00:00:00.000,"","",Normocalcemic Primary Hyperparathyroidism,Normocalcemic Primary Hyperparathyroidism,"",https://vimeo.com/184476614,https://i.vimeocdn.com/video/593928624_421x240.jpg,VS,6
39,393,370,5,2013-09-20 00:00:00.000,"","",Clinical presentation of Primary Hyperparathyroidism in Europe,Clinical presentation of Primary Hyperparathyroidism in Europe,"",https://vimeo.com/184476617,https://i.vimeocdn.com/video/593928489_421x240.jpg,VS,6
40,393,294,6,2013-09-20 00:00:00.000,"","",Clinical presentation of Primary Hyperparathyroidism in Latin America,Clinical presentation of Primary Hyperparathyroidism in Latin America,"",https://vimeo.com/184476616,https://i.vimeocdn.com/video/593928261_421x240.jpg,VS,6
41,393,316,7,2013-09-20 00:00:00.000,"","",Clinical Presentation of Primary Hyperparathyroidism in Asia,Clinical Presentation of Primary Hyperparathyroidism in Asia,"",https://vimeo.com/184476619,https://i.vimeocdn.com/video/593928510_421x240.jpg,VS,6
42,393,277,8,2013-09-20 00:00:00.000,"","",Bone Mineral Density in Asymptomatic Primary Hyperparathyroidism,Bone Mineral Density in Asymptomatic Primary Hyperparathyroidism,"",https://vimeo.com/184476620,https://i.vimeocdn.com/video/593928528_421x240.jpg,VS,6
43,393,53,9,2013-09-20 00:00:00.000,"","",The Bone Biopsy in Primary Hyperparathyroidism,The Bone Biopsy in Primary Hyperparathyroidism,"",https://vimeo.com/184476621,https://i.vimeocdn.com/video/593928498_421x240.jpg,VS,6
44,393,379,10,2013-09-20 00:00:00.000,"","",High Resolution Imaging in Primary Hyperparathyroidism,High Resolution Imaging in Primary Hyperparathyroidism,"",https://vimeo.com/184476622,https://i.vimeocdn.com/video/593928529_421x240.jpg,VS,6
45,393,26,11,2013-09-20 00:00:00.000,"","",Trabecular Bone Score ? TBS ? a novel method to evaluate bone micro-architectural texture in Primary Hyperparathyroidism,Trabecular Bone Score ? TBS ? a novel method to evaluate bone micro-architectural texture in Primary Hyperparathyroidism,"",https://vimeo.com/184476623,https://i.vimeocdn.com/video/593928316_421x240.jpg,VS,6
46,393,122,12,2013-09-20 00:00:00.000,"","",Fracture Risk in Primary Hyperparathyroidism,Fracture Risk in Primary Hyperparathyroidism,"",https://vimeo.com/184476624,https://i.vimeocdn.com/video/593927847_421x240.jpg,VS,6
47,393,362,13,2013-09-20 00:00:00.000,"","",Bone turnover markers in Primary Hyperparathyroidism,Bone turnover markers in Primary Hyperparathyroidism,"",https://vimeo.com/184476625,https://i.vimeocdn.com/video/593928076_421x240.jpg,VS,6
48,393,158,14,2013-09-20 00:00:00.000,"","",The Kidney in Primary Hyperparathyroidism,The Kidney in Primary Hyperparathyroidism,"",https://vimeo.com/184476626,https://i.vimeocdn.com/video/593928595_421x240.jpg,VS,6
49,393,373,15,2013-09-20 00:00:00.000,"","",Cardiovascular Consequences of Primary Hyperparathyroidism,Cardiovascular Consequences of Primary Hyperparathyroidism,"",https://vimeo.com/184476627,https://i.vimeocdn.com/video/593928621_421x240.jpg,VS,6
50,393,328,16,2013-09-20 00:00:00.000,"","",Neurocognitive function in Primary Hyperparathyroidism,Neurocognitive function in Primary Hyperparathyroidism,"",https://vimeo.com/184476628,https://i.vimeocdn.com/video/593928618_421x240.jpg,VS,6
51,393,266,17,2013-09-21 00:00:00.000,"","",Preoperative Imaging in Primary Hyperparathyroidism,Preoperative Imaging in Primary Hyperparathyroidism,"",https://vimeo.com/184476629,https://i.vimeocdn.com/video/593928628_421x240.jpg,VS,6
52,393,293,18,2013-09-21 00:00:00.000,"","",Intraoperative monitoring with PTH in Primary Hyperparathyroidism,Intraoperative monitoring with PTH in Primary Hyperparathyroidism,"",https://vimeo.com/184476630,https://i.vimeocdn.com/video/593928617_421x240.jpg,VS,6
53,393,358,19,2013-09-21 00:00:00.000,"","",Surgery of Hereditary Forms of Primary Hyperparathyroidism,Surgery of Hereditary Forms of Primary Hyperparathyroidism,"",https://vimeo.com/184476631,https://i.vimeocdn.com/video/593928580_421x240.jpg,VS,6
54,393,314,20,2013-09-21 00:00:00.000,"","",Vitamin D in Primary Hyperparathyroidism,Vitamin D in Primary Hyperparathyroidism,"",https://vimeo.com/184476632,https://i.vimeocdn.com/video/593928582_421x240.jpg,VS,6
55,393,13,21,2013-09-21 00:00:00.000,"","",Medical Management of Primary Hyperparathyroidism: 1- Bisphosphonates and HRT,Medical Management of Primary Hyperparathyroidism: 1- Bisphosphonates and HRT,"",https://vimeo.com/184476633,https://i.vimeocdn.com/video/593928519_421x240.jpg,VS,6
